				
Odoo	Ref	Value	Name	Qnty
2919	U1, 	SN74HC175PW	SN74HC175PWR, Flip Flops Quad with Clear, TSSOP-16	1
1653	U2, 	TCN75AVOA	TCN75AVOA, 2-Wire Serial Temperature Sensor, SOIC-8 [SMD]	1
-	U3, 	MCP23017_SMD_QFN28	MCP23017_SMD_QFN28	1
-	U4, 	TG0510WNR-3490-A01_34pins_FFC_P0.50mm_Horizontal_SMD	WO12864C2-TFH#_winstar_LCD_COG_display_128x64	1
-	U7, 	THVD1500DR	THVD1500DR_RS485_driver_SMD_SO-8	1
	U8, 	IRM-60-48	IRM-60-48_DIP_IRM60	1
-	U9, 	NCP1094	NCP1094MNRG_SMD_DFN-10-1EP_3x3mm_Pitch0.5mm	1
3856	U10, U13, 	TLV9001UIDBVR	TLV9001UIDBVR, 1-Channel, 1MHz, RRIO, 1.8V to 5.5V Operational Amplifier for Cost-Optimized Systems -40 to 125, SOT-23-5 [SMD]	2
-	U11, U12, 	MP2494DN-LF-Z	MP2494DN_SMD_SOIC8E	2
~	U14, 	MT1470	MT1470 sync DC-DC 2A_SMD_SOT-23-6	1
1682	U15, 	MC34063	MC34063ACD-TR(MC34063ADR2G), 40V 1.5A , Step-Up/Down/ Inverting Switching Regulators SOIC�� [SMD]	1

-	U18, U19, 	88E6071_marwell_switch_QFN64	88E6071_marwell_switch_QFN64	2
1662	Y1, 	25M	Crystal SPK-25Mhz 8PF +/-50PPM 2Pad(NX5032GA-25.000000MHZ-LN-CD-1, 25.000MHZ 8pF 50PPM SMD) [SMD]	1

3881	U5, U6		TPS23861PWR, IC POE CNTRL 4 CHANNEL 28TSSOP [SMD]	2.0
