Odoo	Ref	Value	Name	Qnty
2708	D31		BZV55-C3V6,115,  Zener Diodes 500MW 3.6V, SOD-80C-2 [SMD]	1.0
3220	D32		SMBJ13A_SMD_SMB [SMD]	1.0
2650	D34		B360A-13-F, Schottky Diodes 60V 3A, SMD/SMT [SMD]	1.0

3340	D6		CDSOT23-SM712, TVS Diodes 7V400W Low Capacitance, SOT-23 [SMD]	1.0
1628	D7		LED Array Lamp 3mm green inside R/A viewing angle plstic case, BL-33G-1 (LA16B/G, 301A-3A4GD)  [DIP]	1.0
3065	F1		1206L075/16WR, PTC Resettable Fuses 0.75A [SMD]	1.0
3794	F2		SC005-00502MLSJJ02(Equ. JNR05S050M85P-2), Power Type NTC Thermistor 5 Ohm, Max 2A, 20%, 峖 5 mm [DIP]	1.0
2734	F3, F4		1206L035YR, PTC Resettable Fuses 6V 0.35A .1s [SMD]	2.0
2216	J1, J2, J3, J4, J7		STK-15EDGRC-3.5-03P, PCB terminal block connector, R/A 3Pin [DIP]	5.0
3669	J10		FPC connector,Pitch: 0.5mm, 20 Pin, Drawer type, H=2.0mm, upper contact, tin plated, X05B20U20T [SMD]	1.0
3441	J11		"USB connector, Side Entry longer type AF  DIP R/A 1u"" PBT Black, USAF-041N-1BC60 [DIP]"	1.0
3937	J12, J13, J14, J15, J16		LPJE106XBHNL, 2x1 RJ45 Conn.w/LED DS1131-01 [DIP]	5.0
1545	J17		BH-20(BHED-DC020G1BOPB-A003 or ULO-BH401-20SSiB1), 2.54mm Box Header 2X10 PIN, Straight DIP Type [DIP]	1.0
2217	J5, J6, J8		STK-15EDGRC-3.5-04P, PCB terminal block connector, R/A 4Pin [DIP]	3.0
3444	J9		Conn Mini PCI Express Card Edge SKT 52 POS Solder RA SMD T/R, 2041119-1 (Equ. 119A-40A00-R02)[SMD]	1.0
1703	K1, K2, K3, K4		EE2-5NU(EE2-5NUX), Slim Form Relays, PCB 5V 2A Non Latching 2 Form C DPDT (Equ. HFD3/5-SR) [SMD]	4.0
1661	L1		BLM18KG601SN1D, Ferrite Chip Beads, 0603 600 OHM 1.3A [SMD]	1.0
3393	L2, L3		ABG10A50M470, SMD POWER INDUCTORS 47 uf [SMD]	2.0
3397	L4, L5, L6		ABG06A45M100, SMD POWER INDUCTORS 10 uH, 100KHZ/1V 6x6x4.5mm [SMD]	3.0
3203	L7		ABG10A50M101_L_100UH_RING_SMD_10.3x10.3x5.1 [SMD]	1.0
2823	Q18, Q20		IRLML9301TRPBF, MOSFET MOSFT P-Ch -30V -3.6A 64mOhm, SOT-23-3 [SMD]	2.0
2677	Q1, Q2, Q3, Q4, Q13, Q14, Q17, Q19, Q21, Q22		2N7002P, 215, MOSFET Small Signal N-CH 60V 0.3A N-CHANNEL TRENCH, SOT-23-3 [SMD]	10.0
1605	Q15, Q16		IRLML6402TRPBF, MOSFET MOSFT P-Ch -3.7A 65mOhm 8nC Log Lvl, SOT-23-3 [SMD]	2.0
3939	Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12		DMT10H009LCG-7, MOSFET MOSFET BVDSS: 61V-100V, V-DFN3333-8 [SMD]	8.0
3528	R1, R2, R6, R7, R126, R128, R138, R139, R140, R141, R142, R143, R160, R161, R162, R163, R164, R165		Chip resistor 0402 1% 150 OHM 1/16W, CRCW0402150RFKED [SMD]	18.0
1893	R100, R105, R110, R117, R131, R134, R135, R136, R137		Chip resistor 0603 1% 1K 0,1W 50V, CR0603-FX-1001ELF [SMD]	9.0
3797	R113, R114		Chip resistor 0603 5% 5R1 OHM [SMD]	2.0
1998	R103, R107		Chip resistor 0603 5% 47K 0,1W 50V, CR0603-JW-473ELF [SMD]	2.0
1755	R11, R12, R13, R14, R19, R20, R21, R22		Chip resistor 0402 1% 20K OHM 1/16W, CRCW040220K0FKED [SMD]	8.0
1889	R121		Chip resistor 0603 1% 182K 0,1W 50V [SMD]	1.0
1878	R123		Chip resistor 0603 1% 11K8 0,1W 50V, CR0603-FX-1182ELF [SMD]	1.0
1873	R125		Chip resistor 0603 1% 100K 0,1W 50V [SMD]	1.0
1901	R124		Chip resistor 0603 1% 20K 0.1 W, CRCW060320K0FKEA [SMD]	1.0
1881	R119		Chip resistor 0603 1% 12K [SMD]	1.0
1875	R120		Chip resistor 0603 1% 10K 0,1W 50V, CRCW060310K0FKEA[SMD]	1.0
1926	R133		Chip resistor 0603 1% 3K OHM [SMD]	1.0
3709	R130		Chip resistor 2512 5% 2 Ohm [SMD]	1.0
1902	R132		Chip resistor 0603 1% 21K 0,1W 50V [SMD]	1.0
2682	R15, R16, R17, R18, R27, R28, R29, R30, R77, R250		Chip resistor 0402 1% 30K OHM 1/16W, CRCW040230K0FKED[SMD]	10.0
1943	R166, R180		Chip resistor 0603 1% 4K99 0,1W 50V, CR0603-FX-4991ELF [SMD]	2.0
1761	R181, R182, R183, R184, R185, R186, R187, R188, R189, R190, R191, R192, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R218, R219, R220, R221, R222, R223, R236, R237, R238, R239, R240, R241, R242, R243		Chip resistor 0402 1% 49R9 OHM 1/16W, CRCW040249R9FKED  [SMD]	36.0
1957	R193, R194, R195, R196, R197, R198, R199, R200, R201, R202, R224, R225, R226, R227, R228, R229, R230, R231, R244, R245, R246, R247		Chip resistor 0603 1% 75 Ohm 0,1W 50V, CR0603-FX-75R0ELF [SMD]	22.0

1753	R3		Chip resistor 0402 1% 1K OHM 1/16W, CRCW04021K00FKED [SMD]	1.0
1965	R37, R39, R40, R44, R45, R46, R49, R50, R51, R89, R90, R106, R118		Chip resistor 0603 5% 0 Ohm 0,1W 50V, CRCW06030000Z0EA  [SMD]	13.0
1980	R53, R54, R59, R60, R61, R68, R69, R70, R154, R155, R156, R157, R158, R176, R177		Chip resistor 0603 5% 22 Ohm 0,1W 50V, CR0603-JW-220ELF [SMD]	15.0
2683	R4, R5, R10, R35, R47, R48, R82, R85, R86, R87, R88, R92, R98, R101, R115, R116, R144, R167		Chip resistor 0402 1% 10K OHM 1/16W, CRCW040210K0FKED [SMD]	18.0
2052	R55, R56, R62, R63, R64, R71, R72, R73		Chip resistor 0805 5% 51 Ohm 0,125W 100V(CR0805-JW-510ELF, RC0805JR-0751RL) [SMD]	8.0
1739	D5, D14		SMAJ58A, Supressor 58v DO213AA case [SMD]	2.0
3940	R57, R58, R65, R66, R67, R74, R75, R76		Chip resistor 1210 1% 0R22 [SMD]	8.0
1682	U15		MC34063ACD-TR(MC34063ADR2G), 40V 1.5A , Step-Up/Down/ Inverting Switching Regulators SOIC�� [SMD]	1.0
2681	R78, R79, R91, R94, R102, R108, R111, R112, R127, R129		Chip resistor 0402 1% 105K OHM 1/16W, CRCW0402105KFKED[SMD]	10.0
1976	R8, R9		Chip resistor 0603 5% 1K5 0,1W 50V, CR0603-JW-152ELF [SMD]	2.0
2064	R80, R81		Chip resistor 1206 5% 10 OHM [SMD]	2.0
3597	R83, R84, R203, R204, R205, R206, R207, R232, R233, R234, R235, R248, R249		Chip resistor 0402 1% 470 OHM [SMD]	13.0
1972	R93		Chip resistor 0603 5% 150 Ohm 0,1W 50V, CR0603-JW-151ELF [SMD]	1.0
3227	R95		Chip resistor 0603 1% 357 Ohm [SMD]	1.0
1905	R96		Chip resistor 0603 1% 24K9 0,1W 50V, CR0603-FX-2492ELF [SMD]	1.0
3229	R97		Chip resistor 0603 1% 169K [SMD]	1.0
1885	R99, R104, R109, R122		Chip resistor 0603 1% 15K OHM [SMD]	4.0
1571	SW1, SW2, SW3, SW4, SW5		SWT-3(EQU. ULO-MDR497; TS-A02VD-2-S090), Tact Switch connector [DIP]	5.0
3230	SW6		ULO-DS428-01RT(Or DS1040-01RT) DIP SWITCH, 9.9x4x8.05, LS7.62 [DIP]	1.0
3941	T1, T2, T3, T4, T5, T6, T7, T8, T9, T10		TG110-RPE5N5RL, Audio & Signal Transformers, 10/100BASETX SMD 16P RP-Ultra PoE 1Port, SMD-16 [SMD]	10.0
2919	U1		SN74HC175PWR, Flip Flops Quad with Clear, TSSOP-16 [SMD]	1.0
